month,day,hour,description,lamax,laeq
12,16,0,MP 02: Naamsestraat 57 Xior,52.553655824298026,50.028440366972475
12,16,0,MP 03: Naamsestraat 62 Taste,53.494166666666665,51.28625
12,16,0,MP 04: His & Hears,55.47258333333333,52.90197222222223
12,16,0,MP 05: Calvariekapel KU Leuven,53.13838888888889,50.1205
12,16,0,MP 06: Parkstraat 2 La Filosovia,51.79719444444444,49.183083333333336
12,16,0,MP 07: Naamsestraat 81,49.25463888888889,47.148583333333335
12,16,0,MP08bis - Vrijthof,43.501555555555555,41.840611111111116
12,16,1,MP 01: Naamsestraat 35  Maxim,59.51261111111111,56.7485
12,16,1,MP 02: Naamsestraat 57 Xior,50.47105555555555,48.089666666666666
12,16,1,MP 03: Naamsestraat 62 Taste,51.70233333333333,49.636833333333335
12,16,1,MP 04: His & Hears,51.86497222222222,49.54272222222222
12,16,1,MP 05: Calvariekapel KU Leuven,50.122972222222224,46.82494444444444
12,16,1,MP 06: Parkstraat 2 La Filosovia,48.153194444444445,45.67611111111111
12,16,1,MP 07: Naamsestraat 81,46.13588888888889,44.28688888888889
12,16,1,MP08bis - Vrijthof,43.20361111111111,41.48525
12,16,2,MP 01: Naamsestraat 35  Maxim,60.696194444444444,58.02638888888889
12,16,2,MP 02: Naamsestraat 57 Xior,51.359638888888895,48.763111111111115
12,16,2,MP 03: Naamsestraat 62 Taste,51.51563888888889,49.335888888888896
12,16,2,MP 04: His & Hears,51.21869444444444,48.87822222222223
12,16,2,MP 05: Calvariekapel KU Leuven,48.22991666666667,45.43375
12,16,2,MP 06: Parkstraat 2 La Filosovia,47.312666666666665,44.717777777777776
12,16,2,MP 07: Naamsestraat 81,45.17858333333333,43.50772222222222
12,16,2,MP08bis - Vrijthof,43.585166666666666,41.898583333333335
12,16,3,MP 01: Naamsestraat 35  Maxim,60.15833333333333,57.41661111111111
12,16,3,MP 02: Naamsestraat 57 Xior,49.14822222222222,46.698527777777784
12,16,3,MP 03: Naamsestraat 62 Taste,50.35369444444444,48.31988888888889
12,16,3,MP 04: His & Hears,49.521,47.36477777777778
12,16,3,MP 05: Calvariekapel KU Leuven,46.36563888888889,43.734027777777776
12,16,3,MP 06: Parkstraat 2 La Filosovia,46.59916666666667,43.763111111111115
12,16,3,MP 07: Naamsestraat 81,43.63733333333333,41.84858333333333
12,16,3,MP08bis - Vrijthof,42.69213888888889,41.09711111111111
12,16,4,MP 01: Naamsestraat 35  Maxim,49.69841666666667,46.87419444444445
12,16,4,MP 02: Naamsestraat 57 Xior,47.474444444444444,44.77330555555555
12,16,4,MP 03: Naamsestraat 62 Taste,50.93841666666666,48.76291666666667
12,16,4,MP 04: His & Hears,51.626888888888885,49.13655555555556
12,16,4,MP 05: Calvariekapel KU Leuven,46.002916666666664,43.14111111111111
12,16,4,MP 06: Parkstraat 2 La Filosovia,45.879694444444446,43.09977777777778
12,16,4,MP 07: Naamsestraat 81,41.30363888888889,39.68261111111111
12,16,4,MP08bis - Vrijthof,42.78058333333333,41.05144444444445
12,16,5,MP 01: Naamsestraat 35  Maxim,48.50141666666667,45.553805555555556
12,16,5,MP 02: Naamsestraat 57 Xior,47.19263888888889,44.75513888888889
12,16,5,MP 03: Naamsestraat 62 Taste,52.02627777777778,49.880944444444445
12,16,5,MP 04: His & Hears,49.9525,47.96402777777778
12,16,5,MP 05: Calvariekapel KU Leuven,45.76497222222222,43.62558333333334
12,16,5,MP 06: Parkstraat 2 La Filosovia,45.22092247846624,43.103445401500416
12,16,5,MP 07: Naamsestraat 81,43.50844444444444,42.021388888888886
