month,day,description,lamax,laeq
2,13,MP 05: Calvariekapel KU Leuven,51.501065972222214,49.634342592592596
2,13,MP 06: Parkstraat 2 La Filosovia,54.614509427192445,52.96629359136101
2,13,MP 07: Naamsestraat 81,59.92003611152907,58.632411254759894
2,14,MP 03: Naamsestraat 62 Taste,54.50861939218524,52.83184138929088
2,14,MP 05: Calvariekapel KU Leuven,53.02019815044155,51.07757265709094
2,14,MP 06: Parkstraat 2 La Filosovia,53.251659162721786,51.374930265396586
2,14,MP 07: Naamsestraat 81,53.941280092592585,52.191219907407415
2,15,MP 03: Naamsestraat 62 Taste,55.781401567329176,54.08902290800912
2,15,MP 05: Calvariekapel KU Leuven,54.00320138888888,51.98725231481481
2,15,MP 06: Parkstraat 2 La Filosovia,53.90500694444444,51.957903935185186
2,15,MP 07: Naamsestraat 81,54.26501736111111,52.42798611111111
2,16,MP 03: Naamsestraat 62 Taste,56.24826428678913,54.60397379356646
2,16,MP 05: Calvariekapel KU Leuven,55.417479166666666,53.57703356481482
2,16,MP 06: Parkstraat 2 La Filosovia,55.97394444444444,54.131224537037035
2,16,MP 07: Naamsestraat 81,56.06785958170812,54.37361312052223
2,17,MP 03: Naamsestraat 62 Taste,56.5788907582526,54.85096710564483
2,17,MP 05: Calvariekapel KU Leuven,56.08393778777792,54.153280523306385
2,17,MP 06: Parkstraat 2 La Filosovia,56.09522064366484,54.158409973905485
2,17,MP 07: Naamsestraat 81,56.49696941580358,54.638385080200884
2,18,MP 03: Naamsestraat 62 Taste,57.62865164636688,55.88766382623999
2,18,MP 05: Calvariekapel KU Leuven,57.87023249890003,55.728243753328854
2,18,MP 06: Parkstraat 2 La Filosovia,57.43024693501893,55.36825964644185
2,18,MP 07: Naamsestraat 81,57.221274674384944,55.38331230101302
2,19,MP 03: Naamsestraat 62 Taste,54.8704788249864,53.14539057165013
2,19,MP 05: Calvariekapel KU Leuven,54.035273964675106,51.8620546771916
2,19,MP 06: Parkstraat 2 La Filosovia,52.790184027777784,50.736414351851856
2,19,MP 07: Naamsestraat 81,51.46985185185186,49.87513657407407
2,20,MP 03: Naamsestraat 62 Taste,54.46267013888889,52.87426851851852
2,20,MP 05: Calvariekapel KU Leuven,53.29981018518518,51.42587268518519
2,20,MP 06: Parkstraat 2 La Filosovia,52.29199189814815,50.499186342592594
2,20,MP 07: Naamsestraat 81,51.316831213324235,49.89936110371648
2,21,MP 03: Naamsestraat 62 Taste,55.876456903436384,54.238248127871856
2,21,MP 05: Calvariekapel KU Leuven,54.81020625477442,52.923398689784484
2,21,MP 06: Parkstraat 2 La Filosovia,54.23430479519439,52.38372782092385
2,21,MP 07: Naamsestraat 81,53.85848630755341,52.23055047570545
2,22,MP 03: Naamsestraat 62 Taste,56.511933370375516,54.71807426957448
2,22,MP 05: Calvariekapel KU Leuven,55.83194068208655,53.61931768192448
2,22,MP 06: Parkstraat 2 La Filosovia,55.51824716968027,53.473355636329956
2,22,MP 07: Naamsestraat 81,53.76094486183624,51.95571235080976
2,23,MP 03: Naamsestraat 62 Taste,57.03447146379009,55.07528790842486
2,23,MP 05: Calvariekapel KU Leuven,56.33499305555556,53.865090277777774
2,23,MP 06: Parkstraat 2 La Filosovia,56.543223409304,54.33426203511859
2,23,MP 07: Naamsestraat 81,55.17941271788699,53.183336419824535
2,24,MP 03: Naamsestraat 62 Taste,57.69821155716071,55.779307311200625
2,24,MP 05: Calvariekapel KU Leuven,56.83262759442972,54.51241390486995
2,24,MP 06: Parkstraat 2 La Filosovia,56.6619702494646,54.60695722637032
2,24,MP 07: Naamsestraat 81,55.458103352472676,53.59328347842193
2,25,MP 03: Naamsestraat 62 Taste,57.95435879629629,56.058113425925924
2,25,MP 05: Calvariekapel KU Leuven,57.015945601851854,54.698785879629625
2,25,MP 06: Parkstraat 2 La Filosovia,57.16407597310154,54.953317746733184
2,25,MP 07: Naamsestraat 81,55.37790162037037,53.51422222222222
2,26,MP 03: Naamsestraat 62 Taste,54.40646072292503,52.58012824222502
2,26,MP 05: Calvariekapel KU Leuven,52.81269126600153,50.385433690594695
2,26,MP 06: Parkstraat 2 La Filosovia,52.246335648148154,49.9990300925926
2,26,MP 07: Naamsestraat 81,50.386775462962966,48.71811805555556
2,27,MP 03: Naamsestraat 62 Taste,53.5060474537037,51.70531481481482
2,27,MP 05: Calvariekapel KU Leuven,51.16425653074688,48.79496869176727
2,27,MP 06: Parkstraat 2 La Filosovia,50.67769560185186,48.51068518518519
2,27,MP 07: Naamsestraat 81,49.03318556927742,47.41444345420665
2,28,MP 01: Naamsestraat 35  Maxim,57.28766796136888,55.24550178458955
2,28,MP 02: Naamsestraat 57 Xior,52.20764833431895,50.04291346343387
2,28,MP 03: Naamsestraat 62 Taste,54.236143197759205,52.44344082038936
2,28,MP 05: Calvariekapel KU Leuven,52.368429824764455,50.20684969559481
2,28,MP 06: Parkstraat 2 La Filosovia,52.07369876966169,50.110397111077674
2,28,MP 07: Naamsestraat 81,51.4472389726733,49.856314309193394
3,1,MP 01: Naamsestraat 35  Maxim,58.17622685185185,55.84994907407407
3,1,MP 02: Naamsestraat 57 Xior,54.17670486111111,52.18363773148148
3,1,MP 03: Naamsestraat 62 Taste,55.18762485676917,53.30363777358534
3,1,MP 05: Calvariekapel KU Leuven,54.5060683236285,52.138009793593646
3,1,MP 06: Parkstraat 2 La Filosovia,53.99158555075869,51.88438755078184
3,1,MP 07: Naamsestraat 81,52.53297337962963,50.79199305555556
3,2,MP 01: Naamsestraat 35  Maxim,57.43192861028484,55.0636650887163
3,2,MP 02: Naamsestraat 57 Xior,54.87538976145557,52.80923043090777
3,2,MP 03: Naamsestraat 62 Taste,55.87301388888889,53.91326041666667
3,2,MP 05: Calvariekapel KU Leuven,55.37523958333333,52.83939467592593
3,2,MP 06: Parkstraat 2 La Filosovia,54.873503472222225,52.66718981481482
3,2,MP 07: Naamsestraat 81,54.000714120370375,51.967699074074076
3,3,MP 01: Naamsestraat 35  Maxim,58.70805217652982,56.51934628873019
3,3,MP 02: Naamsestraat 57 Xior,55.38172569444444,53.344515046296294
3,3,MP 03: Naamsestraat 62 Taste,56.14340443755136,54.17748353568908
3,3,MP 05: Calvariekapel KU Leuven,55.795854166666665,53.34938773148148
3,3,MP 06: Parkstraat 2 La Filosovia,55.07439692411029,52.84305434921077
3,3,MP 07: Naamsestraat 81,53.37619130293876,51.428134078729585
